attendance,internal_marks,assignment_score,previous_gpa,study_hours,backlogs,class_participation,risk_level
71.0,53.4,93.4,5.27,1.9,1,64.2,MEDIUM
85.8,83.5,65.9,2.74,3.5,0,35.5,MEDIUM
97.5,59.0,66.3,5.79,4.6,2,83.9,HIGH
76.1,57.7,65.5,8.44,8.1,1,66.1,MEDIUM
99.4,47.8,98.6,7.78,1.2,0,73.4,MEDIUM
54.3,72.6,94.4,6.67,6.4,0,55.7,MEDIUM
49.4,100.0,100.0,6.97,4.4,1,57.7,MEDIUM
74.2,45.8,67.6,5.97,5.7,1,70.8,HIGH
80.8,65.4,74.4,7.31,3.8,0,41.7,MEDIUM
74.5,90.4,47.3,8.15,2.3,1,57.8,MEDIUM
44.0,63.6,92.2,4.58,5.5,0,47.8,MEDIUM
73.7,73.1,52.5,7.45,5.3,4,47.2,HIGH
55.4,45.9,73.3,8.4,5.9,4,22.8,HIGH
85.0,72.7,53.5,6.38,4.0,1,91.8,MEDIUM
80.5,61.6,61.2,8.05,2.8,0,51.3,MEDIUM
60.9,82.7,57.4,10.0,0.9,3,88.3,HIGH
67.3,86.4,60.9,6.84,5.6,1,86.4,MEDIUM
59.1,100.0,61.9,7.59,4.8,2,39.3,MEDIUM
74.1,75.4,61.8,5.89,2.1,2,43.2,HIGH
89.3,70.9,82.5,7.27,2.9,1,100.0,MEDIUM
60.2,68.5,53.4,7.69,3.1,3,100.0,HIGH
82.6,58.6,73.3,7.29,1.0,3,64.4,HIGH
67.0,71.1,88.3,5.47,2.4,0,70.1,MEDIUM
63.1,59.7,62.3,7.31,1.7,0,52.4,MEDIUM
73.4,68.0,59.2,9.19,3.2,1,73.6,MEDIUM
59.5,88.7,66.5,7.67,2.5,2,50.7,MEDIUM
66.7,46.9,87.7,8.44,0.7,2,24.4,HIGH
57.0,85.5,72.9,6.64,8.0,4,38.6,HIGH
100.0,88.7,62.0,8.12,6.5,0,65.4,LOW
75.5,62.9,77.3,7.42,2.4,2,42.4,HIGH
64.5,26.8,53.5,5.57,4.5,2,63.7,HIGH
78.2,54.1,80.2,7.48,4.8,0,43.5,MEDIUM
73.3,88.3,76.1,5.51,6.4,2,49.4,MEDIUM
71.7,64.6,65.4,6.05,2.4,0,82.1,MEDIUM
84.2,47.0,57.4,7.28,6.2,0,69.9,MEDIUM
86.4,55.9,56.7,7.45,2.9,1,64.8,MEDIUM
67.0,80.1,78.0,5.22,1.3,0,82.6,MEDIUM
66.4,74.8,88.4,8.58,5.4,0,74.6,MEDIUM
70.9,60.7,60.4,7.86,6.6,0,93.9,MEDIUM
40.5,58.4,76.9,5.94,9.2,4,55.8,HIGH
52.3,57.9,38.7,4.69,1.6,3,56.4,HIGH
95.5,48.4,61.2,6.78,5.4,1,39.0,MEDIUM
99.7,94.1,69.5,6.33,3.2,4,56.4,MEDIUM
71.3,59.2,56.4,7.17,5.6,4,84.3,HIGH
83.6,86.9,56.0,6.46,1.1,0,91.0,MEDIUM
79.7,92.4,60.0,3.99,1.5,2,84.2,HIGH
100.0,83.0,74.4,6.42,2.4,4,29.1,MEDIUM
91.8,57.2,67.2,6.54,4.2,0,,MEDIUM
73.1,72.3,36.4,7.95,2.7,3,28.2,HIGH
60.7,64.6,38.2,5.95,5.3,1,83.0,MEDIUM
50.9,48.7,60.9,9.52,6.1,1,57.6,MEDIUM
78.1,70.8,76.9,4.13,5.2,0,79.1,MEDIUM
63.7,43.8,28.8,8.97,7.2,2,38.4,HIGH
53.7,86.4,62.5,6.66,4.8,0,88.4,MEDIUM
65.3,56.6,62.1,8.29,1.6,0,35.7,MEDIUM
58.8,68.6,90.8,7.12,6.7,3,51.6,HIGH
100.0,70.1,64.2,8.71,2.8,3,45.0,MEDIUM
88.2,60.3,75.7,6.42,5.8,1,29.9,MEDIUM
74.9,75.6,72.1,5.35,7.1,4,66.9,HIGH
97.2,56.5,38.0,9.13,4.9,0,100.0,MEDIUM
76.2,80.7,81.5,6.83,1.0,0,100.0,MEDIUM
62.1,40.8,73.2,7.33,2.2,1,66.9,HIGH
97.8,67.3,77.6,8.85,6.6,0,87.3,LOW
83.1,99.9,100.0,5.45,3.7,0,69.6,LOW
59.4,47.0,38.7,7.89,4.2,4,75.0,HIGH
72.1,52.8,95.9,6.12,5.5,3,58.2,HIGH
61.9,74.3,65.7,6.8,5.4,1,68.9,MEDIUM
54.3,68.2,74.3,7.11,4.6,4,75.7,HIGH
88.9,71.3,69.3,4.75,3.6,0,53.4,MEDIUM
100.0,73.8,63.6,5.83,3.4,0,63.5,MEDIUM
54.0,76.4,61.5,9.03,5.7,0,63.8,MEDIUM
83.4,85.0,74.9,8.33,5.1,3,81.5,MEDIUM
65.2,72.4,47.2,6.91,3.5,0,43.7,MEDIUM
67.7,60.7,81.3,7.36,6.2,3,64.0,MEDIUM
66.1,77.1,63.8,6.56,3.7,4,100.0,HIGH
62.0,99.2,53.0,9.03,2.3,0,88.3,MEDIUM
75.7,62.6,63.2,6.7,2.5,1,92.0,MEDIUM
62.5,47.5,88.9,7.35,2.0,4,65.5,HIGH
79.1,84.9,62.0,8.72,3.5,1,71.4,MEDIUM
74.2,62.8,75.4,5.83,6.5,0,85.0,MEDIUM
71.4,25.9,59.0,9.34,2.4,2,96.2,HIGH
61.4,80.3,81.4,4.7,4.4,1,26.0,MEDIUM
66.3,55.4,80.3,9.44,2.7,4,38.7,HIGH
86.3,63.4,97.7,6.44,3.5,1,91.2,MEDIUM
82.5,71.0,67.4,6.64,1.0,0,59.5,MEDIUM
60.3,68.4,80.0,4.16,3.6,0,51.6,MEDIUM
,77.8,71.5,6.32,3.6,0,39.9,MEDIUM
86.3,57.2,89.4,5.44,5.1,1,53.9,MEDIUM
50.0,74.2,59.2,6.09,4.4,3,37.0,HIGH
83.2,60.3,81.2,6.79,1.6,0,,MEDIUM
65.1,78.3,67.1,8.44,6.2,3,64.6,MEDIUM
83.6,76.1,69.0,7.31,4.4,0,63.8,LOW
63.6,48.2,71.4,7.46,4.4,4,76.8,HIGH
47.9,84.5,73.8,5.36,4.0,4,84.2,HIGH
50.6,55.4,68.3,5.68,3.0,0,83.9,MEDIUM
75.7,79.5,73.2,9.7,4.4,3,86.5,MEDIUM
78.9,71.6,93.7,5.9,5.0,0,52.4,MEDIUM
61.4,98.1,84.8,9.48,0.5,4,59.0,MEDIUM
84.6,61.0,83.0,6.64,2.9,0,80.4,MEDIUM
50.1,58.7,63.2,7.0,3.5,0,54.5,MEDIUM
74.0,64.7,56.7,8.61,4.5,0,64.9,LOW
56.8,59.5,84.3,8.91,6.4,3,73.0,MEDIUM
,79.4,83.1,6.83,2.5,2,80.7,HIGH
75.7,35.9,92.1,6.42,3.0,1,29.4,MEDIUM
62.1,46.0,60.9,6.92,3.0,0,79.3,MEDIUM
69.2,45.8,66.6,7.51,2.4,4,60.3,HIGH
90.1,82.1,45.4,8.34,3.3,1,79.1,MEDIUM
66.3,95.8,64.1,7.01,5.5,2,,MEDIUM
87.5,63.1,84.9,7.93,1.9,1,97.2,MEDIUM
58.1,62.0,63.0,9.46,4.9,0,92.1,MEDIUM
82.9,66.3,79.6,7.57,0.6,1,91.9,MEDIUM
96.6,85.9,67.1,7.47,2.9,2,93.9,MEDIUM
37.9,48.3,74.9,4.72,3.3,2,70.8,HIGH
63.0,69.3,52.8,3.05,7.3,0,65.6,MEDIUM
83.7,82.6,71.3,7.58,3.5,0,82.5,MEDIUM
72.0,74.0,25.1,6.86,0.0,0,79.6,MEDIUM
80.6,68.4,67.2,6.23,0.0,0,58.8,MEDIUM
65.9,83.0,45.5,7.37,4.1,4,73.1,HIGH
76.3,16.3,88.1,6.91,5.2,1,64.3,MEDIUM
72.7,77.2,81.7,8.69,4.8,0,47.9,MEDIUM
92.5,53.2,77.0,7.13,4.3,3,90.8,MEDIUM
78.8,32.0,92.8,5.88,6.3,1,66.1,MEDIUM
80.1,74.2,55.8,8.49,2.9,2,100.0,MEDIUM
68.8,89.7,96.2,6.67,5.8,0,32.5,LOW
67.7,62.5,84.0,7.79,0.7,4,53.9,HIGH
68.5,82.2,66.5,6.28,2.2,3,,HIGH
80.9,94.0,87.0,6.03,0.4,0,87.7,LOW
68.7,88.7,53.4,7.13,3.5,0,73.0,MEDIUM
79.3,94.5,57.6,7.02,3.9,3,71.2,MEDIUM
100.0,78.4,60.9,7.72,4.2,1,42.5,LOW
88.1,66.4,62.1,6.6,4.1,4,41.9,HIGH
70.1,36.2,54.2,4.25,2.1,2,71.5,HIGH
93.0,60.6,88.3,6.35,3.6,4,37.7,HIGH
68.9,49.8,66.1,8.19,1.0,0,54.4,MEDIUM
44.4,100.0,75.3,6.55,6.7,0,75.0,MEDIUM
59.9,61.8,61.4,6.63,3.4,0,45.4,MEDIUM
46.9,67.2,42.7,8.48,3.0,3,97.1,HIGH
69.7,74.9,74.1,5.93,7.2,0,89.5,MEDIUM
75.3,65.8,41.3,4.69,1.5,1,33.6,HIGH
100.0,95.5,69.0,6.76,1.7,1,46.4,MEDIUM
79.9,53.8,49.5,6.27,1.8,2,19.3,HIGH
71.7,68.5,99.8,5.55,3.9,0,49.3,MEDIUM
87.4,51.6,83.7,6.74,4.9,1,80.3,MEDIUM
41.8,41.2,71.6,7.74,5.5,3,56.7,HIGH
78.5,54.0,89.0,6.99,9.1,1,74.2,MEDIUM
86.6,64.3,57.3,7.46,0.0,2,34.6,MEDIUM
52.8,57.3,78.2,9.72,5.2,0,81.0,MEDIUM
92.2,52.5,73.0,6.49,2.9,1,53.9,MEDIUM
80.1,39.7,74.0,7.42,2.8,3,65.2,HIGH
68.8,63.5,89.1,6.24,2.8,1,63.1,MEDIUM
84.5,37.9,81.0,5.73,2.2,1,39.6,MEDIUM
100.0,78.7,74.3,6.12,7.4,0,41.9,LOW
77.7,66.5,45.2,6.28,5.7,0,84.4,MEDIUM
78.7,38.8,55.6,7.54,4.0,0,73.0,MEDIUM
68.1,59.4,68.2,10.0,6.7,0,86.0,MEDIUM
62.3,51.5,71.4,5.93,1.0,0,71.5,HIGH
87.5,70.7,53.0,6.38,1.3,3,67.9,HIGH
62.2,89.1,100.0,6.91,0.0,3,30.5,MEDIUM
76.1,31.2,92.7,7.59,2.6,1,59.6,MEDIUM
67.8,67.1,79.0,7.4,4.3,3,64.5,HIGH
82.2,62.1,71.1,8.93,4.2,1,100.0,MEDIUM
80.0,77.1,66.8,3.36,4.3,0,78.7,MEDIUM
,68.8,55.7,3.42,1.2,0,95.7,MEDIUM
67.3,51.5,71.2,6.26,5.6,1,77.0,MEDIUM
71.0,59.3,73.9,8.65,4.5,4,50.8,HIGH
60.3,50.7,51.4,4.65,5.5,4,67.3,HIGH
68.3,84.4,75.0,2.49,0.2,0,69.7,HIGH
80.7,65.4,67.7,7.86,4.6,3,46.2,HIGH
86.4,99.2,41.4,7.37,1.6,3,57.3,MEDIUM
61.2,63.9,57.1,5.36,3.2,1,60.9,HIGH
88.0,52.2,63.8,5.52,5.1,3,97.1,HIGH
95.3,37.8,98.3,5.55,4.2,4,23.4,HIGH
81.2,32.5,78.3,7.17,2.3,0,89.1,MEDIUM
100.0,36.5,50.0,6.06,4.0,4,46.3,HIGH
63.4,69.8,77.3,7.74,0.9,2,37.6,HIGH
56.3,74.2,46.8,2.72,6.3,0,88.6,HIGH
48.3,36.5,86.2,5.71,3.6,0,79.6,HIGH
97.4,81.1,62.9,5.31,6.2,3,90.1,MEDIUM
84.8,56.3,68.6,6.62,2.9,0,81.0,MEDIUM
74.2,67.6,89.9,6.19,3.0,3,100.0,MEDIUM
79.2,94.0,50.7,8.2,2.5,0,76.2,MEDIUM
58.1,81.1,49.0,4.21,5.8,0,61.9,MEDIUM
100.0,60.2,61.2,7.07,2.6,4,71.9,HIGH
76.9,49.0,85.6,7.84,5.3,0,89.9,MEDIUM
76.6,26.3,47.2,9.78,3.2,1,49.4,MEDIUM
85.9,52.1,27.5,6.28,0.0,0,52.0,HIGH
82.2,61.2,63.2,7.49,2.9,3,58.8,HIGH
78.4,47.2,78.3,4.29,1.6,1,22.9,HIGH
63.1,62.6,88.0,3.41,4.1,0,67.8,MEDIUM
82.1,66.4,63.1,8.27,1.6,1,27.3,MEDIUM
100.0,61.0,63.8,6.99,5.9,1,66.1,MEDIUM
95.2,53.3,87.3,8.77,3.8,2,82.3,MEDIUM
98.9,68.0,42.0,4.94,3.6,0,55.5,MEDIUM
67.3,73.0,64.2,7.78,5.3,3,98.5,MEDIUM
60.2,45.4,72.9,9.8,5.9,1,35.8,MEDIUM
73.1,90.4,76.7,7.63,4.0,3,88.8,MEDIUM
75.8,63.2,62.4,7.41,2.5,4,78.5,HIGH
91.4,65.3,70.5,7.01,0.5,2,30.7,MEDIUM
49.6,77.7,32.7,4.64,2.6,1,100.0,HIGH
97.9,69.2,60.1,9.03,2.8,3,63.7,MEDIUM
72.6,82.2,76.8,6.08,4.2,0,47.5,MEDIUM
68.6,70.2,55.3,7.76,3.3,0,36.9,MEDIUM
59.8,54.0,70.9,4.66,5.4,1,60.6,MEDIUM
50.2,71.5,76.7,5.23,2.8,0,62.5,MEDIUM
87.3,44.4,64.9,9.15,,0,67.1,MEDIUM
76.1,67.0,72.6,6.48,6.4,0,,MEDIUM
55.7,64.4,55.6,9.18,4.7,0,77.7,MEDIUM
55.6,61.3,66.9,6.88,3.9,1,57.2,MEDIUM
70.0,62.7,79.2,4.24,2.8,3,26.3,HIGH
100.0,31.1,72.4,8.34,2.7,4,62.0,HIGH
71.1,55.1,61.2,6.12,2.3,0,17.7,MEDIUM
52.5,66.7,73.4,8.05,2.9,1,72.1,MEDIUM
71.3,67.9,80.7,7.04,5.5,2,45.4,MEDIUM
70.9,46.5,39.3,4.69,3.6,1,68.3,MEDIUM
,87.8,87.4,7.25,1.3,1,91.3,MEDIUM
74.2,49.4,65.0,10.0,7.5,3,46.0,HIGH
71.5,82.5,76.4,7.74,4.6,1,86.2,MEDIUM
85.4,72.7,88.0,6.91,1.2,1,56.3,MEDIUM
100.0,53.4,49.4,8.61,3.1,4,100.0,HIGH
91.9,97.0,59.4,7.32,4.2,3,57.7,MEDIUM
71.0,43.5,65.7,7.31,7.4,2,48.2,HIGH
58.4,81.5,58.2,5.36,1.8,0,78.7,MEDIUM
100.0,83.0,96.0,7.35,6.0,3,56.3,MEDIUM
75.9,52.9,57.1,8.55,6.8,0,48.2,MEDIUM
75.2,90.1,61.7,5.75,2.7,3,55.4,MEDIUM
74.6,60.5,73.1,9.14,3.4,1,64.1,MEDIUM
78.0,70.2,52.0,6.86,1.9,1,91.8,MEDIUM
72.8,69.7,64.1,5.67,3.6,1,26.3,MEDIUM
66.4,62.6,74.8,8.5,3.9,2,65.5,MEDIUM
66.8,79.6,65.0,6.57,5.3,3,77.5,HIGH
74.5,79.3,68.6,8.14,6.2,4,68.9,HIGH
66.8,33.5,62.1,6.56,2.5,4,91.2,HIGH
64.3,88.5,47.3,6.91,0.1,3,63.5,HIGH
76.6,35.1,74.8,7.74,4.0,4,61.3,HIGH
71.2,83.6,96.3,7.44,4.6,0,76.8,LOW
97.6,85.3,70.3,4.01,4.5,2,67.0,MEDIUM
35.2,45.4,73.4,5.32,3.3,0,57.2,HIGH
91.4,57.6,80.4,8.39,4.2,0,75.3,LOW
93.7,45.1,51.0,6.8,7.0,0,,MEDIUM
43.9,61.1,95.5,6.21,4.8,0,52.8,MEDIUM
69.9,59.5,73.0,4.96,3.3,0,54.4,MEDIUM
69.4,79.0,94.5,5.38,3.0,4,92.1,HIGH
53.9,88.6,59.0,3.97,3.7,1,0.6,HIGH
63.3,90.1,97.3,6.85,7.3,1,72.9,MEDIUM
58.3,54.9,81.6,6.1,3.6,2,65.7,MEDIUM
100.0,61.2,78.3,5.55,4.0,1,31.4,MEDIUM
89.0,34.7,73.5,6.9,3.0,2,71.2,HIGH
94.1,50.5,66.3,7.55,6.2,0,74.5,MEDIUM
85.8,82.4,88.0,10.0,7.9,3,76.8,MEDIUM
58.1,94.1,72.1,4.73,4.9,0,12.0,MEDIUM
,42.8,40.5,8.74,4.2,1,92.3,MEDIUM
82.3,54.3,53.2,8.46,4.1,0,50.2,MEDIUM
56.7,64.5,67.2,5.83,0.0,1,78.7,HIGH
85.7,70.0,74.6,7.3,5.5,0,79.8,MEDIUM
71.4,50.4,69.2,6.31,4.3,3,47.5,HIGH
69.4,72.6,88.3,7.28,4.9,0,78.2,MEDIUM
85.7,56.5,40.7,9.26,2.6,3,57.3,MEDIUM
81.7,64.7,72.2,7.91,3.2,3,23.6,MEDIUM
69.6,74.8,42.7,7.76,3.2,4,88.4,HIGH
92.4,65.1,81.4,6.35,6.0,2,49.5,MEDIUM
58.8,57.1,68.6,4.77,3.2,0,47.9,HIGH
84.2,63.0,76.3,6.69,8.2,2,56.9,MEDIUM
83.9,63.4,57.0,8.81,4.9,3,70.4,MEDIUM
70.4,58.3,89.2,4.71,1.4,4,63.9,HIGH
79.9,60.3,85.6,5.42,3.7,0,76.0,MEDIUM
56.2,93.8,78.8,7.19,2.7,3,38.2,HIGH
88.9,75.1,68.1,5.52,0.0,1,50.2,MEDIUM
72.2,59.7,78.7,5.81,7.2,3,62.7,HIGH
67.2,77.5,59.4,6.36,5.4,2,100.0,MEDIUM
90.7,59.0,82.8,4.95,5.1,0,62.7,MEDIUM
64.4,86.1,94.7,5.54,4.3,0,86.7,LOW
53.9,71.7,86.1,8.06,1.2,2,65.8,MEDIUM
51.7,63.1,59.1,5.04,3.0,3,55.3,HIGH
84.1,73.1,75.4,4.6,5.7,1,60.1,MEDIUM
55.8,36.7,50.6,6.05,1.9,1,61.6,HIGH
100.0,44.7,78.6,8.1,0.0,4,77.1,HIGH
43.8,43.5,76.8,6.7,3.5,1,92.5,HIGH
100.0,67.6,42.0,6.3,3.7,3,72.2,HIGH
78.2,96.2,52.6,7.07,,1,88.7,MEDIUM
73.5,100.0,65.8,4.38,5.5,4,45.7,HIGH
66.8,76.5,65.5,7.74,5.3,1,56.7,MEDIUM
81.0,74.0,51.9,7.58,4.5,1,50.5,MEDIUM
74.4,32.6,75.8,6.39,6.4,1,71.3,MEDIUM
91.5,55.2,73.8,8.51,1.0,3,57.8,MEDIUM
76.7,50.8,67.1,5.31,5.0,1,79.6,MEDIUM
77.3,53.8,58.7,8.69,5.3,2,46.4,MEDIUM
69.5,62.0,85.7,7.23,1.5,2,65.9,MEDIUM
74.1,56.5,94.8,6.5,1.0,1,78.7,MEDIUM
79.6,29.4,62.7,6.97,2.5,0,23.7,MEDIUM
49.3,78.5,60.8,6.84,2.7,0,100.0,MEDIUM
54.8,45.7,77.4,8.83,5.5,0,59.3,MEDIUM
86.1,69.3,64.6,5.38,2.8,1,24.5,MEDIUM
77.6,100.0,67.9,5.86,2.3,0,68.2,MEDIUM
72.2,48.5,81.1,8.55,2.8,2,65.7,MEDIUM
75.3,19.5,41.4,6.11,6.2,0,63.4,MEDIUM
80.2,59.9,89.8,8.35,4.0,1,84.8,MEDIUM
66.9,84.8,71.1,9.55,,2,79.9,MEDIUM
63.3,100.0,63.8,6.4,3.8,0,71.0,MEDIUM
77.9,42.9,68.7,8.02,6.6,0,74.0,MEDIUM
60.3,73.9,69.4,5.27,2.5,0,62.9,MEDIUM
81.1,56.6,44.0,8.13,6.6,0,100.0,MEDIUM
49.5,63.1,92.4,7.3,4.4,3,35.4,HIGH
90.4,100.0,70.6,7.71,3.7,1,67.8,LOW
82.1,37.9,76.6,6.03,9.0,0,66.3,MEDIUM
78.8,69.6,84.3,4.51,1.9,0,81.3,MEDIUM
89.7,73.4,54.7,7.75,3.3,0,48.1,MEDIUM
100.0,84.5,77.1,3.9,1.5,1,30.1,MEDIUM
90.2,66.8,66.0,6.52,5.9,0,68.1,MEDIUM
,70.5,82.7,8.41,7.4,0,70.6,LOW
55.8,58.0,38.1,7.29,7.3,1,94.8,HIGH
65.6,69.8,68.5,9.92,6.4,3,39.6,MEDIUM
,58.8,61.0,8.54,3.6,2,88.1,MEDIUM
82.8,76.2,76.5,6.02,3.3,3,100.0,MEDIUM
64.1,58.3,77.1,7.04,0.7,1,57.4,MEDIUM
77.8,71.8,59.4,6.93,8.1,1,39.2,MEDIUM
63.7,64.5,59.3,4.63,4.9,0,56.9,MEDIUM
65.8,85.3,68.3,5.59,,0,65.3,MEDIUM
53.9,64.1,56.6,6.16,6.7,0,76.3,MEDIUM
61.2,33.1,82.6,3.95,2.1,4,,HIGH
54.7,87.7,64.5,7.07,,4,96.1,HIGH
60.4,48.7,26.4,6.63,3.7,1,42.7,HIGH
90.8,53.2,64.4,4.49,5.3,4,30.2,HIGH
60.8,54.3,54.4,7.61,3.9,0,87.1,MEDIUM
100.0,89.7,45.5,8.07,1.1,1,19.5,MEDIUM
82.4,26.6,51.4,7.34,4.2,3,60.9,HIGH
77.8,100.0,71.6,6.51,6.1,1,100.0,MEDIUM
62.1,84.0,89.9,7.89,3.9,0,64.8,MEDIUM
85.5,69.0,74.7,8.02,5.6,1,42.6,MEDIUM
66.4,64.0,60.9,7.46,1.9,2,63.9,MEDIUM
76.8,70.1,76.8,5.76,3.9,4,64.0,HIGH
100.0,74.4,63.1,7.41,2.8,1,68.2,MEDIUM
73.6,76.6,59.6,8.79,5.5,3,78.2,MEDIUM
92.2,75.0,52.7,6.11,4.1,0,44.2,MEDIUM
,66.6,43.7,10.0,5.4,2,98.8,MEDIUM
74.5,61.4,64.2,6.21,6.2,2,69.9,HIGH
100.0,62.3,72.4,7.05,5.4,1,79.5,MEDIUM
65.6,61.5,68.6,5.99,4.5,1,52.4,MEDIUM
100.0,85.4,63.8,7.33,2.0,0,90.7,LOW
85.6,75.7,55.8,4.39,4.0,0,59.9,MEDIUM
66.6,12.1,79.1,6.18,2.9,0,70.6,HIGH
84.5,76.8,50.2,5.36,3.3,0,46.3,MEDIUM
89.6,68.5,81.6,7.2,3.3,0,45.1,MEDIUM
,64.7,55.0,8.49,2.0,0,78.8,MEDIUM
51.4,58.0,58.7,7.97,0.1,0,56.1,MEDIUM
64.1,85.2,48.0,3.44,2.7,4,47.9,HIGH
71.3,82.1,62.5,10.0,4.4,0,52.1,MEDIUM
73.9,51.1,84.6,7.44,1.3,1,,MEDIUM
84.3,72.3,77.7,5.84,4.0,3,52.4,HIGH
77.7,47.5,84.7,7.24,7.8,0,62.6,MEDIUM
55.0,40.2,77.8,7.26,6.0,0,65.3,MEDIUM
80.7,53.7,53.4,6.0,7.3,1,26.7,MEDIUM
84.2,80.5,65.0,7.3,4.8,0,35.6,MEDIUM
83.4,82.2,58.3,6.09,6.3,2,71.7,MEDIUM
91.2,74.2,90.0,6.39,2.6,0,50.3,MEDIUM
87.5,78.1,52.0,5.97,2.7,0,86.1,MEDIUM
81.9,74.3,83.4,4.85,0.0,0,84.3,MEDIUM
73.9,53.5,83.4,7.22,6.4,1,79.4,MEDIUM
50.1,72.8,97.4,7.88,7.1,0,100.0,MEDIUM
81.4,79.4,63.9,7.77,2.9,0,63.3,MEDIUM
78.1,78.6,80.7,8.23,3.5,4,78.0,MEDIUM
79.1,86.4,100.0,7.49,2.5,0,53.3,MEDIUM
55.8,77.7,60.7,6.2,4.8,3,100.0,HIGH
58.8,71.3,47.0,8.26,6.2,4,100.0,HIGH
90.8,84.3,41.8,4.96,0.5,1,65.2,HIGH
,64.5,80.7,5.65,4.8,4,72.7,HIGH
85.2,49.1,41.8,5.55,3.4,1,92.2,HIGH
75.4,62.1,64.4,8.62,4.2,1,62.1,MEDIUM
75.4,51.6,76.6,8.41,4.9,0,51.9,MEDIUM
89.1,52.8,72.8,7.73,3.6,4,82.5,HIGH
67.3,62.4,76.4,8.61,3.8,3,66.6,MEDIUM
76.4,50.7,73.3,5.68,3.6,0,68.7,MEDIUM
68.1,59.5,89.2,7.52,5.9,0,48.3,MEDIUM
68.5,30.9,55.7,6.81,4.8,0,30.6,MEDIUM
70.4,68.8,59.8,8.27,4.4,2,69.7,MEDIUM
78.3,65.0,58.4,6.83,1.5,1,,MEDIUM
67.8,50.3,82.5,6.42,3.2,0,60.5,MEDIUM
93.8,76.9,83.5,7.81,5.8,1,93.7,LOW
61.6,81.9,76.8,8.31,4.1,1,50.9,MEDIUM
,36.1,87.8,6.0,5.3,0,43.9,MEDIUM
,51.3,52.3,6.91,7.5,1,63.7,HIGH
96.7,51.2,95.0,5.41,6.1,2,63.3,MEDIUM
77.9,48.1,92.8,3.25,4.2,4,80.4,HIGH
90.5,79.9,81.0,7.3,3.0,3,49.5,MEDIUM
52.7,61.5,96.7,7.91,0.0,4,92.4,HIGH
79.0,60.2,45.2,7.39,3.7,0,100.0,MEDIUM
88.3,28.9,62.1,4.08,3.3,2,,HIGH
76.2,76.4,59.0,6.47,4.8,3,90.0,MEDIUM
91.0,42.7,80.8,3.67,3.7,2,43.9,HIGH
67.2,66.1,54.2,9.05,3.4,0,86.5,MEDIUM
96.1,70.0,81.4,5.37,0.4,1,85.9,MEDIUM
100.0,89.5,90.6,8.88,,1,82.3,LOW
69.6,41.4,80.4,8.42,5.0,0,64.7,MEDIUM
68.3,10.6,74.3,5.65,7.4,0,5.9,MEDIUM
,68.3,55.2,5.3,3.8,3,52.2,HIGH
98.7,97.4,57.3,7.53,4.7,0,52.5,LOW
67.2,87.3,88.7,5.73,5.9,4,45.4,HIGH
68.7,68.8,81.7,7.15,2.4,1,67.4,MEDIUM
70.8,56.2,69.4,6.28,4.7,0,56.6,MEDIUM
54.8,79.5,63.7,4.33,2.5,1,48.5,HIGH
61.2,47.5,39.6,3.65,5.7,0,43.8,HIGH
59.9,73.6,53.9,7.34,4.3,1,50.7,HIGH
63.5,74.1,98.7,6.16,4.6,0,87.4,MEDIUM
74.5,84.1,50.8,6.17,2.4,2,51.8,MEDIUM
78.5,100.0,72.8,8.04,5.4,0,54.7,LOW
98.3,72.1,85.1,8.76,8.2,1,55.9,LOW
60.0,55.8,51.2,6.59,2.0,1,71.8,HIGH
89.8,64.5,72.8,6.49,3.3,1,74.1,MEDIUM
71.8,33.2,84.1,7.75,4.5,1,4.1,MEDIUM
,52.5,70.2,4.96,5.6,4,85.4,HIGH
85.1,57.6,100.0,7.33,2.9,3,93.7,MEDIUM
58.2,55.6,45.0,7.83,0.0,2,44.0,HIGH
80.7,67.7,85.9,8.02,6.7,0,45.6,LOW
77.5,50.2,67.4,4.09,5.5,4,56.0,HIGH
82.4,85.2,81.6,5.86,0.5,1,49.9,MEDIUM
79.3,65.0,76.6,5.68,2.8,0,69.5,MEDIUM
100.0,64.8,59.0,7.15,7.1,0,26.1,MEDIUM
65.4,59.1,73.4,7.72,6.9,0,42.6,MEDIUM
67.0,67.8,42.1,9.25,5.9,0,95.8,MEDIUM
65.7,79.9,79.0,6.26,3.6,1,46.4,MEDIUM
66.7,49.4,74.5,6.25,,0,89.9,MEDIUM
65.4,53.2,79.6,8.72,3.7,3,72.1,HIGH
92.8,59.5,85.9,7.44,6.3,1,28.8,MEDIUM
96.3,40.8,75.5,8.9,2.2,2,77.7,MEDIUM
66.4,50.3,72.2,7.43,2.4,0,62.6,MEDIUM
62.5,56.4,56.8,5.26,6.0,0,55.9,MEDIUM
82.1,80.7,59.3,5.0,3.9,4,69.9,HIGH
66.7,69.7,87.8,4.67,6.8,3,74.5,HIGH
84.5,68.5,91.5,7.99,2.7,2,79.2,MEDIUM
78.0,80.3,66.4,8.78,3.9,0,88.6,MEDIUM
52.3,62.5,70.7,9.77,2.2,0,73.2,MEDIUM
98.2,72.0,56.4,8.26,4.0,1,37.5,MEDIUM
100.0,63.1,87.6,8.74,1.0,3,55.5,MEDIUM
65.8,69.8,80.0,6.13,3.0,0,100.0,MEDIUM
69.2,54.5,99.1,5.27,1.1,0,79.5,MEDIUM
79.3,21.1,56.8,8.28,5.4,4,100.0,HIGH
